X,U,V,M,N,d_min,d_max,r_min,r_max,interval_convention,log_M_over_log_X,log_N_over_log_X,factor_pairs,nonzero_terms,positive_terms,negative_terms,positive_sum,negative_sum,signed_sum,absolute_sum,shifted_proper_prime_power_signed,shifted_proper_prime_power_absolute,non_squarefree_r_nonzero_terms,distinct_d_nonzero_terms,distinct_r_nonzero_terms,signed_sum_over_CX,applicable_proved_lower_bound,exact_coefficient_sha256,source_commit,script_sha256,binary_hash_sha256,arithmetic_precision
1000,3,3,2,128,4,4,129,256,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.10034333188799373,0.7024033232159561,6,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,2,256,4,4,257,500,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.10034333188799373,0.8027466551039498,244,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,4,64,5,8,65,128,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.20068666377598746,0.6020599913279624,3,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,4,128,5,8,129,256,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.20068666377598746,0.7024033232159561,382,25,0,25,0.0,-824.9893598974752,-824.9893598974752,824.9893598974752,-2.973919864938806,2.973919864938806,3,2,24,-0.6248387441487822,,0f1e27ac60ccbff72ff632ccc23968a284e59443d71e2bbd318ca125fb280675,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,4,256,5,8,257,500,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.20068666377598746,0.8027466551039498,250,28,0,28,0.0,-1066.262466138555,-1066.262466138555,1066.262466138555,0.0,0.0,7,2,26,-0.807576597542779,,6931a61ea3003e67f182ef697da3c9498896f0631e6c5af27d12e0136744a388,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,8,32,9,16,33,64,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.3010299956639812,0.5017166594399687,2,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,8,64,9,16,65,128,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.3010299956639812,0.6020599913279624,360,31,17,14,502.3382450707913,-419.29896384445715,83.03928122633417,921.6372089152485,2.973919864938806,2.973919864938806,8,4,19,0.06289312652823582,,4adccb285c79fc3b532d1a32461d0280504bff1cb914e8f555de9ba60d81f7fc,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,8,128,9,16,129,256,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.3010299956639812,0.7024033232159561,301,13,1,12,37.16372568587727,-407.57015455802343,-370.4064288721462,444.73388024390067,0.0,0.0,4,3,12,-0.2805421488949501,,d10ed9b668e272e0f295bf5784ff2510aabffae1c50e38e49e45593dde248a50,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,16,16,17,32,17,32,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.4013733275519749,0.4013733275519749,1,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,16,32,17,32,33,64,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.4013733275519749,0.5017166594399687,350,16,2,14,56.423901255290474,-363.334499711449,-306.91059845615854,419.7584009667395,0.0,0.0,5,6,11,-0.232451037828087,,9e9d7abcbbd06743e06d89896bb92dc0201cd146731862d9a9c446a0c4d35379,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,16,64,17,32,65,128,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.4013733275519749,0.6020599913279624,326,24,9,15,282.4855712409735,-419.6842862780476,-137.19871503707407,702.1698575190211,-15.93293033397644,15.93293033397644,2,4,17,-0.1039129435720791,,eaddb6714da0930253b2397b54dc821c52e26d18ba86799961a565d0c3f17c52,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,32,8,33,64,9,16,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.5017166594399687,0.3010299956639812,2,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
