# N=1000000000 D=10000 squarefree_d=6083 time=27.9s (table 13.2s)
# pi_2(N)=3424506  x/log^2x=2328539.5
# sum_{d<=D sqfree} |Lambda_d| = 5663877  ratio to x/log^2x = 2.4324  ratio to pi_2 = 1.6539
# max |Lambda_d|/A_d = 5.145e-3 at d=9598   max |Lambda_d| = 26570 at d=5
# d	omega	A_d	Lambda_d	Lambda_d/A_d	Lambda_d*sqrt(d/x)
1	0	1000000001	-25216	-2.522e-5	-0.7974
2	1	500000001	18804	3.761e-5	0.8409
3	1	666666668	12511	1.877e-5	0.6853
5	1	400000001	-26570	-6.642e-5	-1.8788
6	2	333333334	18883	5.665e-5	1.4627
7	1	285714286	-8029	-2.810e-5	-0.6718
10	2	200000001	-20760	-1.038e-4	-2.0760
11	1	181818182	-1675	-9.212e-6	-0.1757
13	1	153846154	-1319	-8.573e-6	-0.1504
14	2	142857143	-6964	-4.875e-5	-0.8240
15	2	266666667	-7194	-2.698e-5	-0.8811
17	1	117647059	3682	3.130e-5	0.4801
19	1	105263158	10017	9.516e-5	1.3807
21	2	190476191	-13254	-6.958e-5	-1.9207
22	2	90909091	-6440	-7.084e-5	-0.9552
23	1	86956521	6162	7.086e-5	0.9345
26	2	76923077	-7702	-1.001e-4	-1.2419
29	1	68965517	2900	4.205e-5	0.4939
30	3	133333334	-4747	-3.560e-5	-0.8222
31	1	64516129	4922	7.629e-5	0.8666
33	2	121212122	-287	-2.368e-6	-0.0521
34	2	58823529	-2756	-4.685e-5	-0.5082
35	2	114285714	-18077	-1.582e-4	-3.3819
37	1	54054055	4670	8.639e-5	0.8983
38	2	52631579	6826	1.297e-4	1.3306
39	2	102564103	-6790	-6.620e-5	-1.3409
41	1	48780487	-3934	-8.065e-5	-0.7966
42	3	95238095	-7344	-7.711e-5	-1.5051
43	1	46511628	9245	1.988e-4	1.9171
46	2	43478261	4102	9.435e-5	0.8798
47	1	42553191	-6022	-1.415e-4	-1.3055
51	2	78431373	3460	4.411e-5	0.7814
53	1	37735849	6834	1.811e-4	1.5733
55	2	72727273	2822	3.880e-5	0.6618
57	2	70175439	3606	5.139e-5	0.8609
58	2	34482759	-4172	-1.210e-4	-1.0048
59	1	33898305	-3090	-9.116e-5	-0.7506
61	1	32786885	1316	4.014e-5	0.3250
62	2	32258065	1282	3.974e-5	0.3192
65	2	61538462	-13235	-2.151e-4	-3.3743
66	3	60606061	-3294	-5.435e-5	-0.8462
67	1	29850747	2550	8.542e-5	0.6601
69	2	57971014	6119	1.056e-4	1.6073
70	3	57142857	-13010	-2.277e-4	-3.4421
71	1	28169015	2750	9.762e-5	0.7328
73	1	27397261	-988	-3.606e-5	-0.2669
74	2	27027027	-672	-2.486e-5	-0.1828
77	2	51948052	-7467	-1.437e-4	-2.0720
78	3	51282051	-4530	-8.834e-5	-1.2652
79	1	25316455	4116	1.626e-4	1.1569
82	2	24390243	-7026	-2.881e-4	-2.0119
83	1	24096385	10006	4.152e-4	2.8827
85	2	47058823	-10012	-2.128e-4	-2.9190
86	2	23255814	807	3.470e-5	0.2367
87	2	45977011	8926	1.941e-4	2.6328
89	1	22471911	210	9.345e-6	0.0626
91	2	43956044	-2047	-4.657e-5	-0.6175
93	2	43010753	-1228	-2.855e-5	-0.3745
94	2	21276595	-3226	-1.516e-4	-0.9891
95	2	42105263	6648	1.579e-4	2.0491
97	1	20618557	1756	8.517e-5	0.5469
101	1	19801981	3006	1.518e-4	0.9553
102	3	39215686	1737	4.429e-5	0.5548
103	1	19417475	2032	1.046e-4	0.6521
105	3	76190476	-15447	-2.027e-4	-5.0054
106	2	18867925	1326	7.028e-5	0.4317
107	1	18691589	3766	2.015e-4	1.2319
109	1	18348623	-798	-4.349e-5	-0.2635
110	3	36363637	-944	-2.596e-5	-0.3131
111	2	36036037	234	6.493e-6	0.0780
113	1	17699115	-44	-2.486e-6	-0.0148
114	3	35087719	5744	1.637e-4	1.9394
115	2	34782609	-3912	-1.125e-4	-1.3266
118	2	16949153	-6318	-3.728e-4	-2.1703
119	2	33613445	-972	-2.892e-5	-0.3353
122	2	16393443	-2502	-1.526e-4	-0.8739
123	2	32520325	1810	5.566e-5	0.6348
127	1	15748031	3496	2.220e-4	1.2459
129	2	31007752	-1231	-3.970e-5	-0.4421
130	3	30769231	-12140	-3.945e-4	-4.3771
131	1	15267175	-248	-1.624e-5	-0.0898
133	2	30075188	-2785	-9.260e-5	-1.0157
134	2	14925373	734	4.918e-5	0.2687
137	1	14598541	2088	1.430e-4	0.7728
138	3	28985507	4466	1.541e-4	1.6590
139	1	14388489	2664	1.851e-4	0.9932
141	2	28368794	391	1.378e-5	0.1468
142	2	14084507	778	5.524e-5	0.2932
143	2	27972028	-6991	-2.499e-4	-2.6437
145	2	27586207	7480	2.711e-4	2.8483
146	2	13698631	-3222	-2.352e-4	-1.2311
149	1	13422819	524	3.904e-5	0.2023
151	1	13245033	6118	4.619e-4	2.3774
154	3	25974026	-3787	-1.458e-4	-1.4861
155	2	25806451	5734	2.222e-4	2.2575
157	1	12738853	-3370	-2.645e-4	-1.3353
158	2	12658227	-768	-6.067e-5	-0.3053
159	2	25157233	7546	3.000e-4	3.0090
161	2	24844721	-2166	-8.718e-5	-0.8691
163	1	12269939	6980	5.689e-4	2.8181
165	3	48484849	8320	1.716e-4	3.3796
166	2	12048193	3346	2.777e-4	1.3633
167	1	11976047	-1230	-1.027e-4	-0.5026
170	3	23529411	-5894	-2.505e-4	-2.4302
173	1	11560693	-1370	-1.185e-4	-0.5698
174	3	22988506	2797	1.217e-4	1.1667
177	2	22598870	-1429	-6.323e-5	-0.6012
