# device=cuda NVIDIA GeForce RTX 3090
# k	N	M_k lower bound (Galerkin)	iters	secs	Maynard upper bound k/(k-1) log k
2	200	1.382465	52	0.1	1.386294
2	400	1.384200	52	0.0	1.386294
2	800	1.385067	52	0.0	1.386294
2	1600	1.385500	52	0.0	1.386294
2	3200	1.385717	52	0.1	1.386294
3	50	1.613227	60	0.0	1.647918
3	100	1.629906	61	0.0	1.647918
3	200	1.638191	61	0.1	1.647918
3	300	1.640945	61	0.4	1.647918
4	24	1.726648	76	0.0	1.848392
4	40	1.774998	84	0.1	1.848392
4	60	1.798742	87	0.3	1.848392
4	80	1.810510	88	1.1	1.848392
5	12	1.643076	63	0.0	2.011797
5	20	1.796214	86	0.1	2.011797
5	30	1.868899	99	0.8	2.011797
5	36	1.892582	104	2.2	2.011797
# Richardson extrapolation from the two finest levels (heuristic, not a bound):
2	M_2 ~ 1.38593   (threshold for two primes under EH: 2;  unconditional theta=1/2: 4)
3	M_3 ~ 1.64645   (threshold for two primes under EH: 2;  unconditional theta=1/2: 4)
4	M_4 ~ 1.84581   (threshold for two primes under EH: 2;  unconditional theta=1/2: 4)
5	M_5 ~ 2.01100   (threshold for two primes under EH: 2;  unconditional theta=1/2: 4)
