# limit=10000000000000 threads=16 segments=2384186 elapsed=1293.26s
# x	pi2(x)	S(x)=sum(1/p+1/(p+2))	HL(x)=2C2*int_2^x dt/ln^2 t	pi2/HL	B2_extrap=S(x)+4C2/ln(x)
1000	35	1.518032463559591	45.796	0.764267	1.900305308607
10000	205	1.616893557432201	214.211	0.957001	1.903598191218
100000	1224	1.672799584827741	1248.709	0.980213	1.902163291856
1000000	8169	1.710776930804221	8248.030	0.990418	1.901913353328
10000000	58980	1.738357043917271	58753.816	1.003850	1.902188263223
100000000	440312	1.758815621067975	440367.794	0.999873	1.902167937961
1000000000	3424506	1.774735957638537	3425308.156	0.999766	1.902160239321
10000000000	27412679	1.787478502719241	27411416.532	1.000046	1.902160356233
100000000000	224376048	1.797904310955122	224368864.681	1.000032	1.902160541423
1000000000000	1870585220	1.806592419175877	1870559866.819	1.000014	1.902160630438
2000000000000	3552770943	1.808931049664749	3552817064.505	0.999987	1.902160521957
5000000000000	8312493003	1.811852563407879	8312475260.927	1.000002	1.902160559627
10000000000000	15834664872	1.813943760684607	15834598305.062	1.000004	1.902160571080
